latitude,longitude,acq_date,frp
32.45121,-116.96277,2025-02-05,1.84
32.45188,-116.96248,2025-02-05,1.54
32.52612,-116.78185,2025-02-05,1.58
32.52807,-116.77946,2025-02-05,1.42
32.57551,-114.5976,2025-02-05,0.29
32.85742,-117.03006,2025-02-05,0.81
34.60603,-117.3355,2025-02-05,2.05
34.60669,-117.33617,2025-02-05,1.22
37.88211,-121.18536,2025-02-05,0.32
39.48049,-121.24171,2025-02-05,1.36
34.60826,-117.33441,2025-02-05,1.42
32.04593,-115.01899,2025-02-05,3.04
32.06017,-115.03157,2025-02-05,14.84
32.40091,-114.76667,2025-02-05,3.29
32.63127,-114.54963,2025-02-05,6.41
34.04198,-114.33064,2025-02-05,9.78
36.5253,-120.01943,2025-02-05,5.97
36.64196,-119.8918,2025-02-05,2.26
36.68374,-120.66246,2025-02-05,5.94
36.68464,-120.6638,2025-02-05,7.35
36.69575,-120.68254,2025-02-05,24.44
36.69739,-120.67596,2025-02-05,24.44
36.69974,-120.68311,2025-02-05,38.97
36.70135,-120.67647,2025-02-05,34.38
36.70679,-120.43913,2025-02-05,4.67
36.79285,-119.93546,2025-02-05,4.42
37.07123,-120.24802,2025-02-05,5.35
37.09233,-122.17796,2025-02-05,5.4
37.09382,-122.1804,2025-02-05,4.76
37.09486,-122.17636,2025-02-05,5.76
37.1218,-120.14301,2025-02-05,4.54
37.29032,-120.36644,2025-02-05,3.08
37.29333,-120.33284,2025-02-05,3.17
38.18208,-120.08578,2025-02-05,6.89
38.18328,-120.08617,2025-02-05,11.73
38.18639,-120.0883,2025-02-05,6.89
38.73065,-119.81022,2025-02-05,5.15
38.74195,-119.80261,2025-02-05,21.04
38.75491,-119.80835,2025-02-05,13.65
38.75617,-119.80291,2025-02-05,13.65
38.97072,-120.79725,2025-02-05,14.36
38.97534,-120.79886,2025-02-05,14.36
39.38833,-119.62997,2025-02-05,31.11
39.38894,-119.62685,2025-02-05,41.54
39.51119,-120.27478,2025-02-05,3.55
36.69717,-120.68364,2025-02-05,14.26
36.69737,-120.67632,2025-02-05,14.26
36.74076,-120.03359,2025-02-05,1.12
36.74147,-120.0335,2025-02-05,2.0
37.09312,-122.18122,2025-02-05,7.67
38.18344,-120.08836,2025-02-05,5.27
38.18393,-120.08852,2025-02-05,6.91
38.7384,-119.80479,2025-02-05,8.52
38.74352,-119.80598,2025-02-05,7.63
38.75051,-119.80511,2025-02-05,7.63
38.75224,-119.81119,2025-02-05,23.05
38.75238,-119.80261,2025-02-05,24.31
38.7574,-119.81314,2025-02-05,12.75
38.7575,-119.80414,2025-02-05,12.75
38.96888,-120.79965,2025-02-05,10.4
38.96899,-120.7935,2025-02-05,10.4
38.97551,-120.80098,2025-02-05,7.32
39.39003,-119.63063,2025-02-05,10.67
34.60826,-117.33545,2025-02-06,1.53
34.60834,-117.33659,2025-02-06,1.1
40.8198,-114.25497,2025-02-06,1.19
40.82069,-114.2577,2025-02-06,1.16
40.82244,-114.25835,2025-02-06,1.09
34.60622,-117.3363,2025-02-06,1.53
36.27494,-120.11979,2025-02-06,1.19
33.417,-114.73051,2025-02-06,2.22
33.96811,-114.40652,2025-02-06,10.2
34.04071,-114.3305,2025-02-06,4.53
35.06171,-119.15472,2025-02-06,4.98
35.55727,-115.47096,2025-02-06,3.5
35.55772,-115.47227,2025-02-06,4.42
35.57559,-115.48531,2025-02-06,2.27
36.54177,-120.44798,2025-02-06,7.19
36.5435,-120.45492,2025-02-06,14.23
36.54517,-120.44926,2025-02-06,16.98
36.54603,-120.45659,2025-02-06,7.19
36.5477,-120.45082,2025-02-06,7.19
32.61731,-115.35513,2025-02-06,5.93
38.72314,-119.81706,2025-02-07,0.8
39.49215,-119.61915,2025-02-07,0.44
40.82345,-114.25699,2025-02-07,1.55
40.82368,-114.25522,2025-02-07,0.96
40.86366,-122.79714,2025-02-07,1.2
40.86696,-122.79626,2025-02-07,1.99
34.60974,-117.33579,2025-02-07,0.5
35.07422,-119.33011,2025-02-07,1.63
37.45275,-121.9306,2025-02-07,0.47
37.45605,-121.92975,2025-02-07,0.49
37.88334,-121.18441,2025-02-07,0.65
34.04277,-114.40088,2025-02-07,10.3
34.04437,-114.39519,2025-02-07,10.3
32.7664,-114.00632,2025-02-07,2.34
35.29313,-118.89491,2025-02-07,4.15
35.72604,-119.2621,2025-02-07,3.87
34.62136,-117.10003,2025-02-08,1.05
35.23142,-118.93027,2025-02-08,0.51
35.74339,-118.97691,2025-02-08,0.84
37.095,-122.18147,2025-02-08,0.7
37.4535,-121.93177,2025-02-08,0.88
37.88395,-121.18501,2025-02-08,0.7
37.88462,-121.18671,2025-02-08,0.64
37.95008,-122.40099,2025-02-08,1.05
38.07197,-122.14086,2025-02-08,2.0
39.61866,-119.26221,2025-02-08,1.33
32.51237,-115.42683,2025-02-08,0.42
32.85691,-117.0302,2025-02-08,0.95
33.71761,-117.71208,2025-02-08,0.57
34.15236,-118.19463,2025-02-08,0.64
34.24403,-118.38239,2025-02-08,0.23
34.29151,-118.80079,2025-02-08,0.98
34.31982,-118.5116,2025-02-08,0.27
34.33501,-118.52101,2025-02-08,0.96
34.42945,-118.64645,2025-02-08,1.36
32.75673,-115.39513,2025-02-08,3.65
35.80415,-119.22768,2025-02-08,2.85
36.38982,-119.86225,2025-02-08,9.29
37.08242,-121.92532,2025-02-08,1.32
38.68716,-122.54333,2025-02-08,2.2
39.05144,-120.93327,2025-02-08,4.21
33.61208,-117.8241,2025-02-09,1.23
33.71655,-117.71305,2025-02-09,0.63
33.79328,-117.47748,2025-02-09,0.46
33.81316,-118.23868,2025-02-09,1.55
33.82106,-118.2424,2025-02-09,0.74
34.15181,-118.19182,2025-02-09,1.0
34.24238,-118.38382,2025-02-09,0.64
34.29308,-118.80235,2025-02-09,1.47
34.33576,-118.51826,2025-02-09,1.08
36.35631,-114.90923,2025-02-09,1.1
36.3571,-120.25798,2025-02-09,2.38
36.65829,-119.94994,2025-02-09,1.17
36.6689,-120.48721,2025-02-09,0.84
36.66973,-120.48843,2025-02-09,1.01
37.4553,-121.93424,2025-02-09,0.66
38.072,-122.13919,2025-02-09,1.84
38.68301,-120.57542,2025-02-09,0.75
32.49537,-116.83379,2025-02-09,2.11
34.03583,-117.89118,2025-02-09,1.03
34.15316,-118.19431,2025-02-09,1.1
34.2908,-118.80145,2025-02-09,1.52
36.63959,-119.88236,2025-02-09,1.79
39.58281,-119.51434,2025-02-09,1.52
39.5846,-119.52439,2025-02-09,13.96
39.58717,-119.52982,2025-02-09,3.56
38.07234,-122.14133,2025-02-10,1.48
32.36935,-117.06842,2025-02-10,0.67
32.37241,-117.06992,2025-02-10,1.22
32.37367,-117.06775,2025-02-10,0.67
32.49567,-116.83247,2025-02-10,1.18
32.49615,-116.83712,2025-02-10,1.42
32.59857,-117.01062,2025-02-10,0.69
33.61221,-117.82304,2025-02-10,0.65
33.61316,-117.82385,2025-02-10,0.7
33.79239,-117.47449,2025-02-10,0.82
33.79341,-117.47379,2025-02-10,0.46
33.85283,-118.33304,2025-02-10,1.48
33.853,-118.33331,2025-02-10,1.5
34.03772,-117.89407,2025-02-10,0.15
34.15329,-118.19173,2025-02-10,0.82
34.29139,-118.80077,2025-02-10,0.79
34.33487,-118.51987,2025-02-10,0.98
37.94946,-122.39918,2025-02-10,0.79
37.95024,-122.40099,2025-02-10,0.83
38.07173,-122.1386,2025-02-10,1.37
39.74343,-122.07299,2025-02-10,0.43
33.851,-118.33073,2025-02-10,1.13
34.41019,-118.95803,2025-02-10,15.3
36.26717,-121.33346,2025-02-10,5.38
36.27182,-121.33513,2025-02-10,5.38
36.74665,-118.97826,2025-02-10,4.82
36.89734,-121.45995,2025-02-10,2.01
37.07265,-122.2448,2025-02-10,10.89
37.07355,-122.24675,2025-02-10,6.04
37.87544,-119.85639,2025-02-10,3.14
38.20024,-119.99099,2025-02-10,11.14
38.39675,-120.98151,2025-02-10,5.79
38.39903,-120.98488,2025-02-10,11.99
38.40031,-120.97939,2025-02-10,16.5
38.40335,-120.98654,2025-02-10,11.99
39.03478,-122.11643,2025-02-10,11.53
39.55592,-121.34532,2025-02-10,5.38
40.34502,-122.20973,2025-02-10,9.48
40.5451,-123.80763,2025-02-10,1.87
40.8455,-122.34267,2025-02-10,4.81
40.84637,-122.34397,2025-02-10,2.68
41.82175,-123.95629,2025-02-10,5.85
38.2748,-121.49233,2025-02-10,10.91
38.27549,-121.49271,2025-02-10,9.45
38.39705,-120.98685,2025-02-10,3.07
38.40098,-120.98103,2025-02-10,6.78
38.50172,-121.94191,2025-02-10,8.67
38.68987,-122.54608,2025-02-10,4.65
39.35495,-121.87191,2025-02-10,2.47
39.55332,-121.34145,2025-02-10,5.32
40.52319,-122.48943,2025-02-10,6.25
40.84556,-122.34277,2025-02-10,7.02
40.84735,-122.34475,2025-02-10,8.57
